timestamp,A01,A02,A03,A04,A05,A06,cp
16/3/18 5:30,22.16,125.4,0.954,80.159,0.954,80.159,0
16/3/18 6:00,90.56,153.66,5.321,110.22,5.321,110.22,0
16/3/18 6:30,72.879,169.92,5.533,126.9,5.533,126.9,0
16/3/18 7:00,94.559,204.66,5.675,142.02,5.675,142.02,0
16/3/18 7:30,79.358,241.739,5.578,176.04,5.578,176.04,0
16/3/18 8:00,97.279,297.96,5.693,221.58,5.693,221.58,0
16/3/18 8:30,101.759,293.4,6.657,239.82,6.657,239.82,0
16/3/18 9:00,106.32,289.2,6.277,243.84,6.277,243.84,0
16/3/18 9:30,114.879,292.8,6.1,257.159,6.1,257.159,0
16/3/18 10:00,124.48,285.48,5.682,263.82,5.682,263.82,0
16/3/18 10:30,133.92,272.64,5.553,267,5.553,267,0
16/3/18 11:00,146.159,280.38,6.285,277.02,6.285,277.02,0
16/3/18 11:30,149.92,275.04,5.636,268.859,5.636,268.859,0
16/3/18 12:00,166.399,271.02,5.7,280.08,5.7,280.08,0
16/3/18 12:30,185.92,277.02,18.383,273.42,18.383,273.42,0
16/3/18 13:00,212.8,276.48,16.077,282.18,16.077,282.18,0
16/3/18 13:30,186.479,270.12,16.479,276.72,16.479,276.72,0
16/3/18 14:00,201.2,275.1,16.537,280.319,16.537,280.319,0
16/3/18 14:30,208.078,265.44,16.255,283.08,16.255,283.08,0
16/3/18 15:00,211.28,252.9,16.158,274.92,16.158,274.92,0
16/3/18 15:30,220.4,266.52,15.859,279.9,15.859,279.9,0
16/3/18 16:00,203.279,255.959,17.072,277.019,17.072,277.019,0
16/3/18 16:30,188.719,256.379,1.591,273.48,1.591,273.48,0
16/3/18 17:00,178.719,250.92,1.246,284.7,1.246,284.7,0
16/3/18 17:30,174.24,239.4,1.146,281.16,1.146,281.16,0
16/3/18 18:00,168.959,229.8,1.138,278.04,1.138,278.04,0
16/3/18 18:30,159.84,222.779,1.131,272.7,1.131,272.7,0
16/3/18 19:00,149.039,202.14,1.132,260.88,1.132,260.88,0
16/3/18 19:30,134.16,165.9,1.142,254.339,1.142,254.339,0
16/3/18 20:00,70.8,104.76,1.248,193.32,1.248,193.32,0
16/3/18 20:30,50.64,76.68,0.823,134.1,0.823,134.1,0
16/3/18 21:00,47.599,64.5,0.811,131.34,0.811,131.34,0
16/3/18 21:30,43.12,61.798,0.814,125.4,0.814,125.4,0
16/3/18 22:00,42.88,61.979,0.817,115.44,0.817,115.44,0
16/3/18 22:30,41.04,59.46,0.814,100.74,0.814,100.74,0
16/3/18 23:00,42.159,59.34,0.813,80.94,0.813,80.94,0
16/3/18 23:30,38.479,58.74,0.817,71.94,0.817,71.94,0
